,Date,Start(ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend,Notes
59,"Wed, Oct 30, 2019",7:30p,Indiana Pacers,118,Brooklyn Nets,108,Box Score,,"17,083",
60,"Wed, Oct 30, 2019",7:30p,Detroit Pistons,113,Toronto Raptors,125,Box Score,,"19,800",
61,"Wed, Oct 30, 2019",8:00p,Portland Trail Blazers,102,Oklahoma City Thunder,99,Box Score,,"18,203",
62,"Wed, Oct 30, 2019",8:00p,Houston Rockets,159,Washington Wizards,158,Box Score,,"20,476",
63,"Wed, Oct 30, 2019",10:00p,Charlotte Hornets,118,Sacramento Kings,111,Box Score,,"15,416",
64,"Wed, Oct 30, 2019",10:00p,Los Angeles Clippers,96,Utah Jazz,110,Box Score,,"18,306",
65,"Thu, Oct 31, 2019",10:30p,Phoenix Suns,121,Golden State Warriors,110,Box Score,,"18,064",
66,"Thu, Oct 31, 2019",7:00p,Miami Heat,106,Atlanta Hawks,97,Box Score,,"16,539",
67,"Thu, Oct 31, 2019",9:30p,Denver Nuggets,107,New Orleans Pelicans,122,Box Score,,"16,613",
68,"Fri, Nov 1, 2019",,,,,,,,,
69,"Fri, Nov 1, 2019",7:00p,Houston Rockets,116,Brooklyn Nets,123,Box Score,,"17,732",
70,"Fri, Nov 1, 2019",7:00p,Cleveland Cavaliers,95,Indiana Pacers,102,Box Score,,"16,079",
71,"Fri, Nov 1, 2019",7:00p,Milwaukee Bucks,123,Orlando Magic,91,Box Score,,"15,105",
72,"Fri, Nov 1, 2019",7:30p,New York Knicks,102,Boston Celtics,104,Box Score,,"18,624",
73,"Fri, Nov 1, 2019",8:00p,Detroit Pistons,106,Chicago Bulls,112,Box Score,,"20,671",
74,"Fri, Nov 1, 2019",9:30p,Los Angeles Lakers,119,Dallas Mavericks,110,Box Score,OT,"20,358",
75,"Fri, Nov 1, 2019",10:00p,Utah Jazz,101,Sacramento Kings,102,Box Score,,"16,273",
76,"Sat, Nov 2, 2019",10:30p,San Antonio Spurs,127,Golden State Warriors,110,Box Score,,"18,064",
77,"Sat, Nov 2, 2019",5:00p,New Orleans Pelicans,104,Oklahoma City Thunder,115,Box Score,,"18,203",
78,"Sat, Nov 2, 2019",7:00p,Brooklyn Nets,109,Detroit Pistons,113,Box Score,,"17,222",
79,"Sat, Nov 2, 2019",7:00p,Denver Nuggets,91,Orlando Magic,87,Box Score,,"17,025",
80,"Sat, Nov 2, 2019",8:00p,Phoenix Suns,114,Memphis Grizzlies,105,Box Score,,"14,144",
81,"Sat, Nov 2, 2019",8:00p,Toronto Raptors,105,Milwaukee Bucks,115,Box Score,,"17,637",
82,"Sat, Nov 2, 2019",8:00p,Minnesota Timberwolves,131,Washington Wizards,109,Box Score,,"15,150",
83,"Sat, Nov 2, 2019",8:30p,Charlotte Hornets,93,Golden State Warriors,87,Box Score,,"18,064",
84,"Sun, Nov 3, 2019",10:00p,Philadelphia 76ers,129,Portland Trail Blazers,128,Box Score,,"19,669",
85,"Sun, Nov 3, 2019",5:00p,Chicago Bulls,95,Indiana Pacers,108,Box Score,,"17,073",
86,"Sun, Nov 3, 2019",6:00p,Houston Rockets,100,Miami Heat,129,Box Score,,"19,724",
87,"Sun, Nov 3, 2019",6:00p,Sacramento Kings,113,New York Knicks,92,Box Score,,"19,812",
88,"Sun, Nov 3, 2019",7:00p,Los Angeles Lakers,103,San Antonio Spurs,96,Box Score,,"18,610",
89,"Sun, Nov 3, 2019",7:30p,Dallas Mavericks,131,Cleveland Cavaliers,111,Box Score,,"18,078",
90,"Mon, Nov 4, 2019",9:00p,Utah Jazz,94,Los Angeles Clippers,105,Box Score,,"19,068",
91,"Mon, Nov 4, 2019",7:00p,Detroit Pistons,99,Washington Wizards,115,Box Score,,"13,052",
92,"Mon, Nov 4, 2019",7:30p,New Orleans Pelicans,125,Brooklyn Nets,135,Box Score,,"17,194",
93,"Mon, Nov 4, 2019",8:00p,Houston Rockets,107,Memphis Grizzlies,100,Box Score,,"14,197",
94,"Mon, Nov 4, 2019",8:00p,Milwaukee Bucks,134,Minnesota Timberwolves,106,Box Score,,"16,271",
95,"Mon, Nov 4, 2019",9:00p,Philadelphia 76ers,109,Phoenix Suns,114,Box Score,,"14,285",
96,"Tue, Nov 5, 2019",10:30p,Portland Trail Blazers,118,Golden State Warriors,127,Box Score,,"18,064",
97,"Tue, Nov 5, 2019",7:00p,Indiana Pacers,120,Charlotte Hornets,122,Box Score,OT,"13,341",
98,"Tue, Nov 5, 2019",7:00p,Boston Celtics,119,Cleveland Cavaliers,113,Box Score,,"17,709",
99,"Tue, Nov 5, 2019",7:30p,San Antonio Spurs,100,Atlanta Hawks,108,Box Score,,"14,025",
100,"Tue, Nov 5, 2019",8:00p,Los Angeles Lakers,118,Chicago Bulls,112,Box Score,,"21,193",
101,"Tue, Nov 5, 2019",8:00p,Orlando Magic,94,Oklahoma City Thunder,102,Box Score,,"18,203",
102,"Wed, Nov 6, 2019",9:00p,Miami Heat,89,Denver Nuggets,109,Box Score,,"18,010",
103,"Wed, Nov 6, 2019",7:00p,New York Knicks,102,Detroit Pistons,122,Box Score,,"15,463",
104,"Wed, Nov 6, 2019",7:00p,Washington Wizards,106,Indiana Pacers,121,Box Score,,"16,171",
105,"Wed, Nov 6, 2019",7:30p,Chicago Bulls,113,Atlanta Hawks,93,Box Score,,"15,049",
106,"Wed, Nov 6, 2019",7:30p,Golden State Warriors,112,Houston Rockets,129,Box Score,,"18,055",
107,"Wed, Nov 6, 2019",7:30p,Sacramento Kings,120,Toronto Raptors,124,Box Score,,"19,800",
108,"Wed, Nov 6, 2019",8:00p,Minnesota Timberwolves,121,Memphis Grizzlies,137,Box Score,,"13,503",
109,"Wed, Nov 6, 2019",8:30p,Orlando Magic,106,Dallas Mavericks,107,Box Score,,"19,487",
110,"Wed, Nov 6, 2019",9:00p,Philadelphia 76ers,104,Utah Jazz,106,Box Score,,"18,306",
111,"Thu, Nov 7, 2019",10:00p,Milwaukee Bucks,129,Los Angeles Clippers,124,Box Score,,"19,068",
112,"Thu, Nov 7, 2019",8:00p,Boston Celtics,108,Charlotte Hornets,87,Box Score,,"18,487",
113,"Thu, Nov 7, 2019",8:30p,Oklahoma City Thunder,112,San Antonio Spurs,121,Box Score,,"18,354",
114,"Thu, Nov 7, 2019",9:00p,Miami Heat,124,Phoenix Suns,108,Box Score,,"15,498",
115,"Fri, Nov 8, 2019",10:30p,Portland Trail Blazers,101,Los Angeles Clippers,107,Box Score,,"19,068",
116,"Fri, Nov 8, 2019",7:00p,Detroit Pistons,106,Indiana Pacers,112,Box Score,,"15,544",
117,"Fri, Nov 8, 2019",7:00p,Memphis Grizzlies,86,Orlando Magic,118,Box Score,,"17,021",
118,"Fri, Nov 8, 2019",7:00p,Cleveland Cavaliers,113,Washington Wizards,100,Box Score,,"16,946",
119,"Fri, Nov 8, 2019",7:30p,Sacramento Kings,121,Atlanta Hawks,109,Box Score,,"16,447",
120,"Fri, Nov 8, 2019",8:00p,Golden State Warriors,119,Minnesota Timberwolves,125,Box Score,OT,"15,647",
121,"Fri, Nov 8, 2019",8:00p,Toronto Raptors,122,New Orleans Pelicans,104,Box Score,,"16,337",
122,"Fri, Nov 8, 2019",8:30p,New York Knicks,106,Dallas Mavericks,102,Box Score,,"20,257",
123,"Fri, Nov 8, 2019",9:00p,Philadelphia 76ers,97,Denver Nuggets,100,Box Score,,"19,520",
124,"Fri, Nov 8, 2019",9:00p,Milwaukee Bucks,100,Utah Jazz,103,Box Score,,"18,306",
125,"Fri, Nov 8, 2019",10:00p,Brooklyn Nets,119,Portland Trail Blazers,115,Box Score,,"20,089",
126,"Sat, Nov 9, 2019",10:30p,Miami Heat,80,Los Angeles Lakers,95,Box Score,,"18,997",
127,"Sat, Nov 9, 2019",5:00p,Boston Celtics,135,San Antonio Spurs,115,Box Score,,"18,354",
128,"Sat, Nov 9, 2019",7:00p,New Orleans Pelicans,115,Charlotte Hornets,110,Box Score,,"18,513",
129,"Sat, Nov 9, 2019",8:00p,Houston Rockets,117,Chicago Bulls,94,Box Score,,"20,482",
130,"Sat, Nov 9, 2019",8:00p,Dallas Mavericks,138,Memphis Grizzlies,122,Box Score,,"15,753",
131,"Sun, Nov 10, 2019",8:00p,Golden State Warriors,108,Oklahoma City Thunder,114,Box Score,,"18,203",
132,"Sun, Nov 10, 2019",3:30p,Denver Nuggets,100,Minnesota Timberwolves,98,Box Score,OT,"13,553",
133,"Sun, Nov 10, 2019",6:00p,Indiana Pacers,109,Orlando Magic,102,Box Score,,"17,118",
134,"Sun, Nov 10, 2019",6:00p,Charlotte Hornets,106,Philadelphia 76ers,114,Box Score,,"20,311",
135,"Sun, Nov 10, 2019",7:00p,Milwaukee Bucks,121,Oklahoma City Thunder,119,Box Score,,"18,203",
136,"Sun, Nov 10, 2019",7:30p,Cleveland Cavaliers,108,New York Knicks,87,Box Score,,"19,812",
137,"Sun, Nov 10, 2019",8:00p,Brooklyn Nets,112,Phoenix Suns,138,Box Score,,"17,290",
138,"Sun, Nov 10, 2019",9:00p,Atlanta Hawks,113,Portland Trail Blazers,124,Box Score,OT,"20,041",
139,"Mon, Nov 11, 2019",9:30p,Toronto Raptors,113,Los Angeles Lakers,104,Box Score,,"18,997",
140,"Mon, Nov 11, 2019",7:00p,Minnesota Timberwolves,120,Detroit Pistons,114,Box Score,,"12,526",
141,"Mon, Nov 11, 2019",7:30p,Dallas Mavericks,106,Boston Celtics,116,Box Score,,"18,624",
142,"Mon, Nov 11, 2019",7:30p,Memphis Grizzlies,113,San Antonio Spurs,109,Box Score,,"18,627",
143,"Mon, Nov 11, 2019",8:00p,Houston Rockets,122,New Orleans Pelicans,116,Box Score,,"16,695",
144,"Mon, Nov 11, 2019",10:30p,Utah Jazz,122,Golden State Warriors,108,Box Score,,"18,064",
145,"Tue, Nov 12, 2019",10:30p,Toronto Raptors,88,Los Angeles Clippers,98,Box Score,,"19,068",
146,"Tue, Nov 12, 2019",7:00p,Oklahoma City Thunder,85,Indiana Pacers,111,Box Score,,"15,838",
147,"Tue, Nov 12, 2019",7:00p,Cleveland Cavaliers,97,Philadelphia 76ers,98,Box Score,,"20,294",
148,"Tue, Nov 12, 2019",7:30p,Detroit Pistons,108,Miami Heat,117,Box Score,,"19,600",
149,"Tue, Nov 12, 2019",8:00p,New York Knicks,102,Chicago Bulls,120,Box Score,,"18,668",
150,"Tue, Nov 12, 2019",9:00p,Atlanta Hawks,125,Denver Nuggets,121,Box Score,,"18,327",
151,"Tue, Nov 12, 2019",9:00p,Los Angeles Lakers,123,Phoenix Suns,115,Box Score,,"18,055",
152,"Tue, Nov 12, 2019",9:00p,Brooklyn Nets,114,Utah Jazz,119,Box Score,,"18,306",
153,"Wed, Nov 13, 2019",10:00p,Portland Trail Blazers,99,Sacramento Kings,107,Box Score,,"16,358",
154,"Wed, Nov 13, 2019",7:00p,Memphis Grizzlies,119,Charlotte Hornets,117,Box Score,,"13,155",
155,"Wed, Nov 13, 2019",7:00p,Philadelphia 76ers,97,Orlando Magic,112,Box Score,,"15,113",
156,"Wed, Nov 13, 2019",7:30p,Washington Wizards,133,Boston Celtics,140,Box Score,,"19,156",
157,"Wed, Nov 13, 2019",7:30p,Los Angeles Clippers,93,Houston Rockets,102,Box Score,,"18,055",
158,"Wed, Nov 13, 2019",8:00p,San Antonio Spurs,114,Minnesota Timberwolves,129,Box Score,,"11,581",
159,"Wed, Nov 13, 2019",10:00p,Golden State Warriors,94,Los Angeles Lakers,120,Box Score,,"18,997",
160,"Thu, Nov 14, 2019",10:00p,Toronto Raptors,114,Portland Trail Blazers,106,Box Score,,"19,544",
161,"Thu, Nov 14, 2019",6:00p,Miami Heat,108,Cleveland Cavaliers,97,Box Score,,"17,374",
162,"Thu, Nov 14, 2019",8:00p,Chicago Bulls,115,Milwaukee Bucks,124,Box Score,,"17,627",
163,"Thu, Nov 14, 2019",8:00p,Los Angeles Clippers,127,New Orleans Pelicans,132,Box Score,,"17,147",
164,"Thu, Nov 14, 2019",8:00p,Dallas Mavericks,103,New York Knicks,106,Box Score,,"19,812",
165,"Thu, Nov 14, 2019",9:00p,Atlanta Hawks,112,Phoenix Suns,128,Box Score,,"15,143",
166,"Fri, Nov 15, 2019",10:30p,Brooklyn Nets,93,Denver Nuggets,101,Box Score,,"18,394",
167,"Fri, Nov 15, 2019",7:00p,Detroit Pistons,106,Charlotte Hornets,109,Box Score,,"16,778",
168,"Fri, Nov 15, 2019",7:00p,San Antonio Spurs,109,Orlando Magic,111,Box Score,,"16,296",
169,"Fri, Nov 15, 2019",8:00p,Indiana Pacers,102,Houston Rockets,111,Box Score,,"18,055",
170,"Fri, Nov 15, 2019",8:00p,Utah Jazz,106,Memphis Grizzlies,107,Box Score,,"16,422",
171,"Fri, Nov 15, 2019",8:00p,Washington Wizards,137,Minnesota Timberwolves,116,Box Score,,"12,716",
172,"Fri, Nov 15, 2019",8:00p,Philadelphia 76ers,119,Oklahoma City Thunder,127,Box Score,OT,"18,203",
173,"Fri, Nov 15, 2019",10:30p,Boston Celtics,105,Golden State Warriors,100,Box Score,,"18,064",
174,"Sat, Nov 16, 2019",10:30p,Sacramento Kings,97,Los Angeles Lakers,99,Box Score,,"18,997",
175,"Sat, Nov 16, 2019",6:00p,Brooklyn Nets,117,Chicago Bulls,111,Box Score,,"19,148",
176,"Sat, Nov 16, 2019",7:00p,Milwaukee Bucks,102,Indiana Pacers,83,Box Score,,"17,024",
177,"Sat, Nov 16, 2019",7:30p,Charlotte Hornets,103,New York Knicks,102,Box Score,,"19,401",
178,"Sat, Nov 16, 2019",8:00p,New Orleans Pelicans,94,Miami Heat,109,Box Score,,"19,600",
179,"Sat, Nov 16, 2019",8:00p,Houston Rockets,125,Minnesota Timberwolves,105,Box Score,,"18,978",
180,"Sat, Nov 16, 2019",8:30p,Toronto Raptors,102,Dallas Mavericks,110,Box Score,,"19,926",
181,"Sat, Nov 16, 2019",8:30p,Portland Trail Blazers,121,San Antonio Spurs,116,Box Score,,"18,534",
182,"Sun, Nov 17, 2019",10:30p,Atlanta Hawks,101,Los Angeles Clippers,150,Box Score,,"19,068",
183,"Sun, Nov 17, 2019",3:00p,Philadelphia 76ers,114,Cleveland Cavaliers,95,Box Score,,"19,432",
184,"Sun, Nov 17, 2019",3:30p,Boston Celtics,99,Sacramento Kings,100,Box Score,,"16,633",
185,"Sun, Nov 17, 2019",6:00p,Denver Nuggets,131,Memphis Grizzlies,114,Box Score,,"14,227",
186,"Sun, Nov 17, 2019",6:00p,Washington Wizards,121,Orlando Magic,125,Box Score,,"16,344",
187,"Sun, Nov 17, 2019",7:00p,Golden State Warriors,100,New Orleans Pelicans,108,Box Score,,"16,812",
188,"Mon, Nov 18, 2019",9:30p,Atlanta Hawks,101,Los Angeles Lakers,122,Box Score,,"18,997",
189,"Mon, Nov 18, 2019",7:00p,Cleveland Cavaliers,105,New York Knicks,123,Box Score,,"17,097",
190,"Mon, Nov 18, 2019",7:30p,Indiana Pacers,115,Brooklyn Nets,86,Box Score,,"14,140",
191,"Mon, Nov 18, 2019",7:30p,Charlotte Hornets,96,Toronto Raptors,132,Box Score,,"19,800",
192,"Mon, Nov 18, 2019",8:00p,Milwaukee Bucks,115,Chicago Bulls,101,Box Score,,"17,565",
193,"Mon, Nov 18, 2019",8:00p,Portland Trail Blazers,108,Houston Rockets,132,Box Score,,"18,055",
194,"Mon, Nov 18, 2019",8:30p,San Antonio Spurs,110,Dallas Mavericks,117,Box Score,,"19,637",
195,"Mon, Nov 18, 2019",9:00p,Boston Celtics,99,Phoenix Suns,85,Box Score,,"15,193",
196,"Mon, Nov 18, 2019",9:00p,Minnesota Timberwolves,112,Utah Jazz,102,Box Score,,"18,306",
197,"Tue, Nov 19, 2019",10:30p,Oklahoma City Thunder,88,Los Angeles Clippers,90,Box Score,,"19,068",
198,"Tue, Nov 19, 2019",8:00p,Golden State Warriors,114,Memphis Grizzlies,95,Box Score,,"14,511",
199,"Tue, Nov 19, 2019",8:00p,Portland Trail Blazers,104,New Orleans Pelicans,115,Box Score,,"15,021",
200,"Tue, Nov 19, 2019",10:00p,Phoenix Suns,116,Sacramento Kings,120,Box Score,,"16,732",
201,"Wed, Nov 20, 2019",10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,112,Box Score,,"18,997",
202,"Wed, Nov 20, 2019",7:00p,New York Knicks,104,Philadelphia 76ers,109,Box Score,,"20,384",
203,"Wed, Nov 20, 2019",7:00p,San Antonio Spurs,132,Washington Wizards,138,Box Score,,"14,579",
204,"Wed, Nov 20, 2019",7:30p,Milwaukee Bucks,135,Atlanta Hawks,127,Box Score,,"16,441",
205,"Wed, Nov 20, 2019",7:30p,Charlotte Hornets,91,Brooklyn Nets,101,Box Score,,"14,011",
206,"Wed, Nov 20, 2019",7:30p,Golden State Warriors,94,Dallas Mavericks,142,Box Score,,"19,569",
207,"Wed, Nov 20, 2019",7:30p,Cleveland Cavaliers,100,Miami Heat,124,Box Score,,"19,600",
208,"Wed, Nov 20, 2019",7:30p,Orlando Magic,97,Toronto Raptors,113,Box Score,,"19,800",
209,"Wed, Nov 20, 2019",8:00p,Detroit Pistons,89,Chicago Bulls,109,Box Score,,"18,119",
210,"Wed, Nov 20, 2019",8:00p,Utah Jazz,103,Minnesota Timberwolves,95,Box Score,,"13,177",
211,"Wed, Nov 20, 2019",9:00p,Houston Rockets,95,Denver Nuggets,105,Box Score,,"17,778",
212,"Thu, Nov 21, 2019",10:00p,Boston Celtics,104,Los Angeles Clippers,107,Box Score,OT,"19,068",
213,"Thu, Nov 21, 2019",8:00p,Portland Trail Blazers,129,Milwaukee Bucks,137,Box Score,,"17,385",
214,"Fri, Nov 22, 2019",10:30p,New Orleans Pelicans,124,Phoenix Suns,121,Box Score,,"13,903",
215,"Fri, Nov 22, 2019",7:00p,Atlanta Hawks,103,Detroit Pistons,128,Box Score,,"15,399",
216,"Fri, Nov 22, 2019",7:00p,Charlotte Hornets,118,Washington Wizards,125,Box Score,,"15,053",
217,"Fri, Nov 22, 2019",7:30p,Sacramento Kings,97,Brooklyn Nets,116,Box Score,,"15,619",
218,"Fri, Nov 22, 2019",8:00p,Miami Heat,116,Chicago Bulls,108,Box Score,,"18,953",
219,"Fri, Nov 22, 2019",8:00p,Los Angeles Lakers,130,Oklahoma City Thunder,127,Box Score,,"18,203",
220,"Fri, Nov 22, 2019",8:00p,San Antonio Spurs,104,Philadelphia 76ers,115,Box Score,,"20,927",
221,"Fri, Nov 22, 2019",8:30p,Cleveland Cavaliers,101,Dallas Mavericks,143,Box Score,,"19,639",
222,"Fri, Nov 22, 2019",9:00p,Boston Celtics,92,Denver Nuggets,96,Box Score,,"19,520",
223,"Fri, Nov 22, 2019",9:00p,Golden State Warriors,109,Utah Jazz,113,Box Score,,"18,306",
224,"Sat, Nov 23, 2019",10:30p,Houston Rockets,119,Los Angeles Clippers,122,Box Score,,"19,068",
225,"Sat, Nov 23, 2019",5:00p,Phoenix Suns,100,Minnesota Timberwolves,98,Box Score,,"17,362",
226,"Sat, Nov 23, 2019",7:00p,Chicago Bulls,116,Charlotte Hornets,115,Box Score,,"17,891",
227,"Sat, Nov 23, 2019",7:00p,Orlando Magic,106,Indiana Pacers,111,Box Score,,"16,446",
228,"Sat, Nov 23, 2019",7:30p,Toronto Raptors,119,Atlanta Hawks,116,Box Score,,"16,931",
229,"Sat, Nov 23, 2019",7:30p,San Antonio Spurs,111,New York Knicks,104,Box Score,,"19,320",
230,"Sat, Nov 23, 2019",7:30p,Miami Heat,86,Philadelphia 76ers,113,Box Score,,"21,017",
231,"Sat, Nov 23, 2019",8:00p,Portland Trail Blazers,104,Cleveland Cavaliers,110,Box Score,,"19,432",
232,"Sat, Nov 23, 2019",8:00p,Los Angeles Lakers,109,Memphis Grizzlies,108,Box Score,,"17,794",
233,"Sat, Nov 23, 2019",8:30p,Detroit Pistons,90,Milwaukee Bucks,104,Box Score,,"17,585",
234,"Sun, Nov 24, 2019",9:00p,New Orleans Pelicans,120,Utah Jazz,128,Box Score,,"18,306",
235,"Sun, Nov 24, 2019",3:30p,Dallas Mavericks,137,Houston Rockets,123,Box Score,,"18,055",
236,"Sun, Nov 24, 2019",6:00p,Brooklyn Nets,103,New York Knicks,101,Box Score,,"18,770",
237,"Sun, Nov 24, 2019",6:00p,Sacramento Kings,113,Washington Wizards,106,Box Score,,"15,885",
238,"Sun, Nov 24, 2019",8:00p,Phoenix Suns,104,Denver Nuggets,116,Box Score,,"19,520",
239,"Mon, Nov 25, 2019",9:00p,New Orleans Pelicans,109,Los Angeles Clippers,134,Box Score,,"19,068",
240,"Mon, Nov 25, 2019",7:00p,Brooklyn Nets,108,Cleveland Cavaliers,106,Box Score,,"17,143",
241,"Mon, Nov 25, 2019",7:00p,Orlando Magic,88,Detroit Pistons,103,Box Score,,"14,695",
242,"Mon, Nov 25, 2019",7:00p,Memphis Grizzlies,114,Indiana Pacers,126,Box Score,,"15,141",
